sample_id,fracture_pixel_ratio,num_connected_components,largest_component_ratio,mean_component_area,skeleton_length,endpoint_count,junction_count,hough_line_count,orientation_bin_00,orientation_bin_01,orientation_bin_02,orientation_bin_03,orientation_bin_04,orientation_bin_05,orientation_bin_06,orientation_bin_07,orientation_bin_08,orientation_bin_09,orientation_bin_10,orientation_bin_11,orientation_bin_12,orientation_bin_13,orientation_bin_14,orientation_bin_15,orientation_bin_16,orientation_bin_17
step_0010000_binary_000,0.3046875,10.0,0.9330929487179487,499.2,1276.0,42.0,535.0,238.0,0.1991591894580065,0.021302164953814765,0.021547861664867454,0.012503693438881308,0.05107292075836042,0.04772718358119694,0.053503739500179594,0.049012152140979086,0.07165033602496719,0.09801814056833007,0.01567188467179216,0.03316746503073953,0.03467678998515713,0.029053958829519014,0.06301311593473916,0.015192658740016383,0.04198711436549765,0.14173963035295567
step_0010000_binary_001,0.27862548828125,16.0,0.5695509309967142,285.3125,1192.0,44.0,483.0,245.0,0.0884642902163457,0.12057247749162164,0.07200262564615839,0.03362311992008108,0.07389132791165817,0.044532913926972076,0.051239280350092176,0.08933572215807994,0.018516204904242516,0.03674307443202026,0.02483322276601321,0.019317119082049472,0.009189105055371188,0.10509788359805083,0.034826857056433916,0.062195422853180735,0.08450457174431324,0.031114780887315452
step_0010000_binary_002,0.35321044921875,9.0,0.9647485743908761,643.0,1502.0,44.0,726.0,304.0,0.05336821140606773,0.03525085883038507,0.10118102290789024,0.03668205190801151,0.04695882530782225,0.04385057461942555,0.04406100471920776,0.04093360286424122,0.03839153536914003,0.17274022762295288,0.10489022980438639,0.047108541196539566,0.03970464888889451,0.02127307899984917,0.014979541017152162,0.0626465801069095,0.06085477007441678,0.03512469435670765
step_0010000_binary_003,0.23150634765625,15.0,0.6633271816504086,252.86666666666667,1136.0,50.0,541.0,214.0,0.05738188043235607,0.1174709872207167,0.05651644723448433,0.015080120410451307,0.04669570404388775,0.06425943194057386,0.014996822881673104,0.02751656753061656,0.035270133296868324,0.044142533680015326,0.055847242415071316,0.059669816744865274,0.18683935226372303,0.07744952191076387,0.017062108128841787,0.04518374528379054,0.043729248099947736,0.034888336481353185
step_0010000_binary_004,0.3084716796875,12.0,0.6349426197071626,421.1666666666667,1314.0,53.0,525.0,285.0,0.07051826202082732,0.09075547489316531,0.04908808721221059,0.054990949327435,0.06208850133006436,0.04485897358184861,0.031227870279481727,0.04539046506323764,0.023832126048781176,0.06235125571529224,0.04989470286203591,0.03861805587690663,0.05343967216447184,0.0978813548262329,0.08319559940847548,0.08312833263630863,0.028832111480650947,0.029908205272573672
step_0010000_binary_005,0.4508056640625,7.0,0.9933658272407258,1055.142857142857,1891.0,48.0,872.0,405.0,0.03588373306880064,0.03131555448525038,0.03233634472340904,0.11327573156306658,0.07973943511169376,0.06078962340307428,0.06449768772922375,0.02545087422320912,0.07453190139972639,0.1503661242443471,0.07008090651117704,0.03967427906407338,0.010857720618969462,0.0371396251586383,0.030825171530115554,0.06866399880759605,0.0316752581639052,0.04289603019372401
step_0010000_binary_006,0.25970458984375,14.0,0.7943595769682726,303.92857142857144,1200.0,56.0,525.0,226.0,0.09924044482615071,0.022604613324339794,0.03180865938526866,0.07990036577143798,0.07037547849087529,0.008171073275664005,0.031250075836203955,0.026197703398616403,0.048495857678600235,0.07575892454277636,0.0423108134215212,0.011664883767657933,0.027261737723122067,0.08333193765680301,0.11504672533692427,0.0446901678575854,0.13689380365271644,0.04499673405373622
step_0010000_binary_007,0.15167236328125,12.0,0.7798792756539236,207.08333333333334,698.0,33.0,268.0,135.0,0.07271468660825874,0.09409564317223178,0.023832035569303228,0.028090823446222084,0.05314850078655446,0.04182254955901583,0.028798972321182274,0.02036152888237463,0.04971789984664158,0.15079218978956516,0.041253048758299625,0.027222556100272095,0.03983980417975895,0.08511502278277101,0.06796632294911578,0.10205544171606185,0.03453140651362724,0.03864156701874366
step_0010000_binary_008,0.24029541015625,11.0,0.5120650241300483,357.90909090909093,1029.0,38.0,436.0,196.0,0.11836551241333398,0.062346700675879975,0.06593051491418096,0.04330667806279534,0.05677101846973097,0.1321854377358651,0.10989968231199594,0.02034652113166814,0.014166551615774238,0.01987550586357464,0.02203698071316011,0.041220835415949585,0.04830190537704742,0.05717760993976226,0.04984000150170168,0.030388844320368383,0.057853950125758315,0.04998574941145307
step_0010000_binary_009,0.35186767578125,13.0,0.9465741543798786,443.46153846153845,1515.0,39.0,746.0,288.0,0.12602867301851442,0.015320930040482551,0.03868465016269122,0.0537629601293219,0.09019262012142476,0.030258463958740222,0.024091941908233935,0.023775043408635947,0.026689252517775486,0.021983197076980036,0.049050310121926566,0.04538875503570924,0.016478109091679204,0.10811806327098658,0.07471984242652538,0.08830237759217643,0.08064509369686403,0.08650971642133212
step_0010000_binary_010,0.27130126953125,16.0,0.7808773903262092,277.8125,1243.0,55.0,571.0,232.0,0.07554767974046346,0.08629138897962335,0.04261416216276813,0.03166496254205312,0.051579946448530055,0.01760264722638494,0.004587406767730769,0.020914110159102384,0.0,0.00650530585196924,0.038307522858320446,0.06583913771523343,0.1039722748128746,0.10280944932212539,0.07244111572020343,0.15015187862056006,0.06335985814720538,0.06581115292485185
step_0010000_binary_011,0.37152099609375,16.0,0.9513717759158863,380.4375,1485.0,50.0,656.0,369.0,0.09568654168006199,0.0763841794480421,0.04494644351643793,0.011808862641405437,0.040914591243017266,0.019443945478492732,0.021622310220294608,0.04018624368570507,0.09330094531869472,0.11464863879984635,0.06922495881819843,0.055174302744693766,0.04662198731985026,0.0951256806536129,0.06039693001612329,0.05144199250570791,0.03255638633062494,0.030515059579190325
step_0010000_binary_012,0.43218994140625,9.0,0.9870074848185284,786.7777777777778,1943.0,49.0,1032.0,360.0,0.11527605279369528,0.06599949372190504,0.062415933531598994,0.06543651484714358,0.1231187501217035,0.09737148809640295,0.04766940228820353,0.035172950038918335,0.03425964142577549,0.02143125599110374,0.01936927570558261,0.019510445405386805,0.030788682472657963,0.06357785264524546,0.04267286051415026,0.021577651835354306,0.03221576765004025,0.10213598091513182
step_0010000_binary_013,0.29876708984375,14.0,0.9201225740551583,349.64285714285717,1278.0,45.0,673.0,219.0,0.04408445406906483,0.09520845115741365,0.01518378016909623,0.01970211935568532,0.04674242030943275,0.01423785496163745,0.06508722510389792,0.15014948479168616,0.07756893303120506,0.1672116788109133,0.035383806202371464,0.05477819082986658,0.07520464171274895,0.09009089269671373,0.020000624573472334,0.003942689913680988,0.005684378647965479,0.019738373663147818
step_0010000_binary_014,0.227783203125,14.0,0.9222936763129689,266.57142857142856,1098.0,49.0,548.0,209.0,0.0664488383820977,0.08871042875948668,0.023305756068862024,0.034739066145114156,0.09148229506428592,0.07150678392538672,0.05952481294654538,0.028538809334867757,0.03523902280088758,0.03927524203533528,0.07771102844441992,0.05732765751385155,0.10351826814974455,0.04431315340618679,0.0644645915474268,0.022762424939935286,0.06203058038381162,0.02910124015175431
step_0010000_binary_015,0.31671142578125,11.0,0.7546733474657931,471.72727272727275,1434.0,52.0,643.0,281.0,0.095867919311429,0.10838149322671327,0.09761191681885585,0.13227300790071606,0.14728563360145508,0.042340310049755955,0.06877767453161326,0.008493352662844454,0.0016222425968681277,0.017601574475330218,0.014362275218674083,0.02540375468555243,0.04749539127249073,0.051096410943674564,0.05788659369075598,0.03426380191105542,0.024341021490731068,0.024895625611484402
step_0010000_binary_016,0.39166259765625,14.0,0.9859747545582047,458.35714285714283,1691.0,61.0,739.0,343.0,0.1128033490634936,0.03784116545242444,0.06320518974481588,0.07342830399268661,0.09436426649972128,0.04885199903919885,0.043054734563826885,0.13866675441269818,0.01573450538416821,0.05176219714587527,0.02594565289655199,0.0060152848487645075,0.0350623871932878,0.03804581019090539,0.04315125983396446,0.027717313619627475,0.06656541882061838,0.0777844072973708
step_0010000_binary_017,0.33807373046875,14.0,0.8364325690557862,395.64285714285717,1486.0,61.0,693.0,303.0,0.050607974181279436,0.00976394439838103,0.045747678533502714,0.0248792957224653,0.04434177094625909,0.035906178485476156,0.07216336038138758,0.056781452967506606,0.03059401782932308,0.10321628546062142,0.03938981971982042,0.13018619108161592,0.11798641926867082,0.057396006795744574,0.09551127522291707,0.04199183878893383,0.015585850979341063,0.027950639236753755
step_0010000_binary_018,0.23486328125,11.0,0.8199064449064449,349.8181818181818,994.0,38.0,385.0,196.0,0.06710253090018199,0.10952891940113842,0.015658734704942164,0.06569116795542389,0.0641553206374058,0.0758845087136456,0.027779575902061013,0.04361572496814062,0.015614406305932669,0.04532840141399789,0.07697573705425945,0.06171021873978716,0.06985693574596102,0.07766056929414336,0.05255853657416717,0.0024506453676751104,0.04820488940726275,0.08022317691387387
step_0010000_binary_019,0.400634765625,12.0,0.9651127361365022,547.0,1749.0,50.0,801.0,335.0,0.04918054697928066,0.0734339456990969,0.05167523060280043,0.04417648804138912,0.028549150576376744,0.03412348388338556,0.08205134697481958,0.06869415053457514,0.05838479211693791,0.07506260519457011,0.10119198451459366,0.12219181498137552,0.07380290506888398,0.0416608728739356,0.00791050329346548,0.04210301657841339,0.03892513382918639,0.006882028256913916
step_0010000_binary_020,0.44683837890625,12.0,0.9922141783909302,610.0833333333334,1966.0,42.0,977.0,379.0,0.022106186288407718,0.07104674894757784,0.052295678149652886,0.029078778828165126,0.10663977105410624,0.07595582865985427,0.10413985660993735,0.05299832682095702,0.046904688119150655,0.15559035641909988,0.014635248598945428,0.07418406241522679,0.07105946029827086,0.036401413692317884,0.03243877037733316,0.032191578653547534,0.007335730661548063,0.01499751540590127
step_0010000_binary_021,0.2652587890625,25.0,0.398067188219052,173.84,1114.0,61.0,493.0,245.0,0.0872178934474491,0.04750950849282097,0.07527162076691542,0.0378483712961269,0.12489737171140446,0.04808278698747739,0.06474001952138743,0.049939807834762345,0.028553547848104203,0.12372619629812358,0.05971723760886108,0.06975919003313175,0.05136821438503224,0.045183395295875374,0.01350545446281579,0.004467103530336901,0.023108785595934024,0.04510349488344098
