sample_id,fracture_pixel_ratio,num_connected_components,largest_component_ratio,mean_component_area,skeleton_length,endpoint_count,junction_count,hough_line_count,orientation_bin_00,orientation_bin_01,orientation_bin_02,orientation_bin_03,orientation_bin_04,orientation_bin_05,orientation_bin_06,orientation_bin_07,orientation_bin_08,orientation_bin_09,orientation_bin_10,orientation_bin_11,orientation_bin_12,orientation_bin_13,orientation_bin_14,orientation_bin_15,orientation_bin_16,orientation_bin_17
dfn_000000,0.18084716796875,6.0,0.6247046911913601,493.8333333333333,804.0,30.0,392.0,103.0,0.022944575889232644,0.12660794868005013,0.18499296522559916,0.07094463900956352,0.1496872909439051,0.07643875311619916,0.003405284634389902,0.09420787338547777,0.0,0.025198363542951588,0.06434014419219343,0.02080551348983188,0.015423639524556854,0.008076341644384375,0.0038072239626156692,0.030840995420523994,0.035038408697175026,0.06724003864135002
dfn_000001,0.4451904296875,1.0,1.0,7294.0,1851.0,40.0,984.0,313.0,0.04812085047750745,0.07217843152818668,0.042307584992612,0.09084040884924575,0.06754044944970329,0.07964549832264299,0.03436952208722207,0.051589996560042234,0.07303741064272344,0.055181528398257476,0.0605934432477975,0.1430085386131038,0.060005406664703644,0.02408962389047875,0.013740706470848135,0.025838589479802627,0.05365348685140309,0.004258523473719073
dfn_000002,0.4068603515625,4.0,0.9753975397539754,1666.5,1809.0,66.0,975.0,338.0,0.0713457311628093,0.02443621283312304,0.05468228696797102,0.034977742712089616,0.15182033374786302,0.08718492033006975,0.05489703774644103,0.0461122534154022,0.04103547107613318,0.06067303171359608,0.05134288508225492,0.0695547772859794,0.05772138114860991,0.06630467869390115,0.059890506841404144,0.02776749347880882,0.023584964531548583,0.01666829123199488
dfn_000003,0.44183349609375,2.0,0.9899157342174334,3619.5,1903.0,33.0,1043.0,356.0,0.0616099121525373,0.014476851069541087,0.03612237210440691,0.03077026951835568,0.058804153754190444,0.056083938802215065,0.02878025289865666,0.012710482878029526,0.009543385111142935,0.040130629384382034,0.026218133229052053,0.10299973875731454,0.028028237289047648,0.0955030109370723,0.07937106614224312,0.08288906940019566,0.17410880666618564,0.06184968990543142
dfn_000004,0.33843994140625,4.0,0.8559062218214608,1386.25,1497.0,40.0,688.0,261.0,0.07264291384098459,0.048476678350362026,0.01004367585469562,0.07237601588650482,0.03854683102174984,0.0843873792760405,0.10375135487107222,0.08555300263881983,0.0700524838397047,0.09003575402136542,0.07935996285990746,0.014965792266031645,0.06485440534656393,0.022146021463003266,0.033214212009224135,0.041307559471582815,0.034963664873303546,0.033322292109083676
dfn_000005,0.34222412109375,6.0,0.7998929909042268,934.5,1576.0,47.0,753.0,279.0,0.057756243363554775,0.01234774646501656,0.013141498928084295,0.06183406928474638,0.08768957816082094,0.039642573854060045,0.03188477855852737,0.14096705506428786,0.04746379125497854,0.08237691753719535,0.03190547994951642,0.06798893625573892,0.058180300545348174,0.021457482667597932,0.06708485435394176,0.05181111730531313,0.08374798147464087,0.042719594976630755
dfn_000006,0.19915771484375,8.0,0.4842169782408826,407.875,806.0,27.0,370.0,99.0,0.08716774847835894,0.0037269098575061954,0.015187112184070834,0.04708846564799755,0.054807111059559405,0.11715144644089208,0.029963649525626444,0.013443166966064518,0.03369238400921615,0.03902139489015574,0.010997123278300037,0.07664063058735933,0.04387483266183651,0.02580377820944318,0.007359191507710439,0.10823046148406877,0.21429662598905314,0.0715479672227807
dfn_000007,0.2978515625,5.0,0.958811475409836,976.0,1252.0,50.0,601.0,256.0,0.056969459767522046,0.06702116907598583,0.052682849371635504,0.19004549069796262,0.050380563216166574,0.036725815206824365,0.053974132961677385,0.04895350520552573,0.056714443703940715,0.11269752246929543,0.047368930148646,0.055335846342704276,0.008214695441161275,0.022366643661129736,0.04560988133772483,0.051280514708041326,0.023673876322163185,0.01998466036189318
dfn_000008,0.3541259765625,8.0,0.7702516373664253,725.25,1463.0,46.0,654.0,295.0,0.03742855115015325,0.0373811406237659,0.011117531887792175,0.01016222733978047,0.026370725352250515,0.027881204413465636,0.014463474566057103,0.09817902348210909,0.1323162498687034,0.31180321390244725,0.06657068985107,0.051080936886808835,0.06232879956753002,0.04363287476650398,0.040626043814396405,0.01076124245117784,0.015816014998950273,0.0020800550770376943
dfn_000009,0.42498779296875,3.0,0.9708458997558523,2321.0,1786.0,47.0,881.0,337.0,0.08084400583439393,0.029144858899024264,0.019347433817193716,0.05897732272261871,0.0776874594795509,0.040884412326609984,0.035758884101217095,0.06056302242275236,0.046119098332741436,0.12160648276874524,0.1346441710150976,0.02170481547921839,0.045650589646334616,0.04383666131306325,0.06895539281673184,0.03796716116867502,0.04072830448974227,0.035579923366289255
